Course Code,Course Name,Lecturer(s),Day,Time,Date,Classroom,Examination Date
MR‐NF,Machine Reasoning,Sam (Course Mgr),Saturday,9am ‐ 5pm,28‐Jan‐23,Horizon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
MR‐NF,Machine Reasoning,Sam (Course Mgr),Saturday,9am ‐ 5pm,4‐Feb‐23,Horizon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
MR‐NF,Machine Reasoning,Sam (Course Mgr),Saturday,9am ‐ 5pm,11‐Feb‐23,Horizon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
MR‐NF,Machine Reasoning,Sam (Course Mgr),Saturday,9am ‐ 5pm,18‐Feb‐23,Horizon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
RS‐NF,Reasoning Systems,"Sam (Course Mgr)
Fangming
Barry",Tuesday,6:30pm ‐ 10pm,28‐Feb‐23,Integrity (L3),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
RS‐NF,Reasoning Systems,"Sam (Course Mgr)
Fangming
Barry",Thursday,6:30pm ‐ 10pm,2‐Mar‐23,Integrity (L3),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
RS‐NF,Reasoning Systems,"Sam (Course Mgr)
Fangming
Barry",Saturday,9am ‐ 5pm,11‐Mar‐23,Integrity (L3),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
RS‐NF,Reasoning Systems,"Sam (Course Mgr)
Fangming
Barry",Saturday,9am ‐ 5pm,18‐Mar‐23,Integrity (L3),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
RS‐NF,Reasoning Systems,"Sam (Course Mgr)
Fangming
Barry",Saturday,9am ‐ 5pm,25‐Mar‐23,Integrity (L3),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
RS‐NF,Reasoning Systems,"Sam (Course Mgr)
Fangming
Barry",Saturday,9am ‐ 5pm,1‐Apr‐23,Integrity (L3),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
CGS‐NF,Cognitive Systems,"Zhenzhen (Course Mgr)
Aobo
Tian Jing",Saturday,9am ‐ 5pm,15‐Apr‐23,Horizon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
CGS‐NF,Cognitive Systems,"Zhenzhen (Course Mgr)
Aobo
Tian Jing",Saturday,9am ‐ 5pm,29‐Apr‐23,Horizon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
CGS‐NF,Cognitive Systems,"Zhenzhen (Course Mgr)
Aobo
Tian Jing",Saturday,9am ‐ 5pm,6‐May‐23,Horizon (L4),"15 May 2023 (Monday)
6:30pm ‐ 10:00pm"
